1,1336,1293,1340,1355,1365,1401,1440,1463,1442,1459,1532,1559,1611,1595,1664,1716,1748,1760,1736,1844,1845,1948,1997,1989,2018,2067,2152,2221,2220,2219,2204,2311,2359,2331,2366,2454,2505,2561,2565,2614,2639,2699,2678,2713,2713,2749,2805,2869,2902,2900,2975,2950,2979,2914,2966,2908,2864,2819,2858,2955,2898,2811,2880,2951,2991,2969,2853,2748,2733,2679,2569,2623,2626,2574,2603,2493,2469,2460,2423,2327,2313,2258,2269,2299,2224,2142,2108,2102,2109,2077,2060,1978,1888,1865,1764,1802,1786,1778,1730,1666,1621,1597,1592,1519,1490,1462,1459,1407,1415,1401,1360,1297,1317,1281,1270,1259,1235,1191,1167,1181,1160,1134,1101,1068,1035,996,970,974,
9,1392,1362,1344,1415,1427,1399,1509,1489,1504,1551,1572,1604,1669,1680,1755,1749,1852,1874,1878,1938,1998,2047,2074,2087,2121,2170,2108,2229,2267,2286,2319,2430,2486,2514,2514,2619,2668,2755,2796,2862,2848,2800,2797,2821,2819,2915,2882,3029,3057,2998,3141,3142,3190,3153,3141,3135,3020,3037,3095,3075,3126,3023,3085,3083,3073,3080,3073,2962,2862,2784,2786,2752,2678,2670,2712,2670,2600,2566,2514,2484,2478,2387,2354,2326,2272,2254,2262,2111,2138,2109,2111,2102,1989,1927,1913,1877,1866,2639,2130,1729,1725,1661,1668,1601,1593,1490,1528,1511,1465,1450,1398,1395,1343,1335,1324,1278,1265,1222,1167,1218,1224,1165,1151,1134,1068,1030,1037,982,
17,1444,1430,1418,1444,1425,1479,1532,1532,1548,1607,1627,1689,1708,1726,1808,1876,1881,1897,1991,2034,2054,2083,2148,2197,2243,2239,2298,2405,2392,2375,2436,2486,2549,2589,2631,2832,2783,2888,2825,2845,2852,2863,2924,3048,3002,3047,3113,3062,3103,3161,3267,3251,3306,3265,3318,3266,3292,3389,3300,3350,3153,3196,3097,3170,3134,3211,3181,3148,3046,2960,2993,2983,2867,2767,2739,2748,2753,2709,2590,2676,2562,2448,2437,2439,2317,2364,2276,2241,2196,2205,2136,2102,2056,1930,1947,1936,1896,1888,1858,1787,1751,1763,1715,1634,1661,1598,1503,1505,1477,1483,1430,1437,1439,1395,1369,1312,1310,1267,1202,1234,1244,1220,1185,1127,1094,1062,1038,1031,
25,1472,1469,1487,1497,1504,1494,1534,1560,1581,1625,1708,1705,1726,1795,1867,1910,1927,1954,2055,2121,2121,2234,2206,2342,2363,2428,2566,2512,2511,2590,2599,2637,2717,2650,2811,2846,2925,2895,2996,3138,3109,3088,3234,3253,3272,3209,3308,3363,3413,3493,3482,3421,3432,3487,3484,3573,3483,3524,3459,3545,3459,3489,3407,3432,3333,3369,3249,3255,3134,3048,3117,3072,2922,2954,2880,2845,2875,2781,2716,2783,2767,2610,2628,2499,2470,2378,2344,2361,2296,2243,2255,2216,2110,2043,2003,1969,1972,1993,1883,1895,1835,1796,1725,1715,1681,1648,1572,1580,1516,1548,1512,1469,1444,1417,1388,1361,1342,1350,1191,1280,1274,1250,1185,1167,1126,1106,1058,1070,
33,1526,1496,1571,1561,1560,1589,1602,1634,1642,1687,1765,1825,1807,1858,1905,1988,2013,2105,2160,2157,2208,2276,2340,2459,2502,2595,2653,2619,2653,2686,2706,2743,2800,2901,2953,3035,3026,3065,3097,3238,3189,3246,3342,3269,3391,3400,3430,3549,3504,3538,3540,3589,3647,3590,3692,3682,3705,3676,3743,3721,3683,3711,3648,3577,3537,3569,3452,3483,3420,3358,3235,3178,3071,3071,3070,2975,2967,2812,2901,2810,2772,2607,2590,2638,2504,2485,2478,2431,2378,2372,2337,2346,2234,2133,2102,2002,2097,2067,1999,1968,1912,1871,1765,1767,1748,1692,1625,1614,1591,1562,1561,1528,1474,1446,1424,1427,1379,1357,1203,1324,1347,1289,1266,1227,1155,1133,1114,1105,
41,1614,1579,1615,1608,1633,1602,1684,1619,1654,1763,1787,1812,1834,1900,1954,2030,2054,2154,2161,2191,2244,2360,2368,2487,2531,2572,2616,2710,2756,2810,2829,2810,2893,3059,3054,3125,3095,3169,3201,3307,3303,3348,3376,3443,3574,3554,3545,3682,3644,3628,3681,3746,3781,3886,3846,3961,3952,3898,3871,3836,3892,3887,3906,3785,3734,3701,3790,3703,3431,3390,3443,3253,3265,3150,3191,3178,3119,2865,2896,3000,2924,2790,2733,2705,2644,2570,2544,2499,2459,2395,2424,2405,2246,2209,2269,2164,2107,2102,2059,1917,1937,1853,1899,1893,1785,1770,1721,1642,1612,1638,1589,1527,1535,1508,1450,1431,1434,1416,1299,1319,1300,1294,1255,1282,1214,1204,1188,1154,
49,1625,1661,1649,1636,1658,1702,1691,1687,1736,1765,1860,1898,1944,1962,2060,2097,2191,2230,2221,2375,2386,2447,2570,2583,2633,2662,2741,2773,2768,2815,2899,2943,3081,3126,3199,3250,3245,3282,3317,3506,3539,3495,3643,3595,3774,3822,3840,3868,3911,3865,3996,3916,3957,3925,4089,4169,4240,4103,4101,4093,4167,4085,3991,3988,3935,4035,3943,3923,3769,3743,3615,3593,3434,3366,3323,3268,3193,3243,3098,3087,3064,2952,2901,2778,2698,2658,2641,2638,2626,2543,2499,2510,2402,2354,2348,2259,2146,2159,2111,2080,2023,2008,1988,1950,1875,1780,1776,1665,1717,1655,1636,1534,1564,1552,1539,1503,1449,1432,1415,1418,1380,1366,1336,1305,1271,1255,1254,1197,
57,1762,1735,1710,1673,1653,1764,1710,1751,1799,1869,1909,1989,1978,1982,2076,2179,2217,2260,2319,2377,2447,2507,2622,2703,2672,2817,2893,2850,2956,3004,3141,3184,3219,3339,3435,3466,3573,3530,3690,3819,3827,3777,3720,3756,4010,3869,3953,3967,4176,4156,4186,4215,4238,4262,4189,4197,4356,4356,4365,4336,4333,4364,4330,4259,4244,4187,4155,4242,4161,4171,4214,4461,4371,4640,5009,5316,5664,6058,6222,6635,6871,7119,7248,7616,7724,7972,8024,8205,8308,8310,8228,8123,8529,8857,8995,9071,9320,8867,8791,7898,7261,7078,7319,7813,7718,7413,7218,7138,7023,6895,6769,6652,6764,6702,6390,6022,5552,5208,4959,4512,3957,3608,3287,2999,2780,2416,2146,1888,
65,1808,1794,1768,1725,1737,1797,1759,1805,1841,1917,1921,1995,2090,2074,2173,2253,2298,2417,2447,2531,2587,2623,2696,2752,2832,2872,3009,3031,3088,3045,3249,3399,3481,3531,3550,3701,3649,3830,3933,4186,4193,4433,4883,5409,6228,7112,8121,9218,10385,11228,12213,13214,14347,15198,16171,16675,17340,18348,18745,19198,19560,20087,20457,20661,20820,21333,21585,22159,22809,23695,24579,25323,25264,25541,25956,25675,25546,25818,25864,25847,25944,25939,25847,25522,25939,25875,25828,26167,25923,25737,25561,25292,25466,25523,24766,24946,25493,25494,24975,24038,23762,23988,24195,24479,24316,23687,23511,23625,23858,23565,23499,23373,23250,23261,23505,23333,23537,23253,22887,22792,22262,21908,22168,22058,21307,20492,19316,18012,
73,1876,1867,1865,1835,1888,1872,1825,1860,1901,1934,2003,2106,2123,2241,2317,2371,2393,2479,2559,2668,2790,2969,3455,4213,5303,6403,7964,9113,10241,11385,12734,13918,15117,16440,17602,18809,20126,21126,21828,22866,23998,24673,25107,25238,25825,25590,25729,25794,25849,25843,26001,25906,26004,26247,26521,25707,25859,25836,26083,25945,26224,26095,26144,26092,26031,26068,25728,26009,25699,25277,25977,26086,26251,26052,26681,26327,26066,26351,26209,26285,26356,26323,26099,25643,26086,26616,26404,26180,26072,25649,25914,25855,25664,25404,25407,25299,25766,25662,25377,25055,24579,24120,24707,24621,24469,24170,23078,22976,23328,23453,24020,24236,23817,23471,23383,23162,23600,23696,23008,23079,22837,22378,22607,22966,22613,21788,20877,20153,
