#T_CH1	T_CH2	T_CH3	T_CH4	A_CH1	A_CH2	A_CH3	A_CH4
-1.706	-1.458	-2.971	-3.451	112.360	70.478	252.420	268.613
-2.129	-1.594	-3.027	-3.269	72.472	65.827	164.820	224.623
-6.782	-5.188	-7.331	-5.673	177.667	60.536	38.588	32.431
-1.308	-1.996	-3.267	-2.536	126.333	52.901	222.765	230.811
-3.653	-1.349	-2.626	-5.082	225.044	79.595	154.001	284.392
-3.290	-2.243	-3.172	-4.869	228.763	72.711	115.484	131.825
-1.548	-1.265	-2.646	-2.774	123.950	116.427	225.019	251.624
-1.277	-2.521	-4.006	-2.896	111.599	94.766	198.741	197.247
-1.091	-2.152	-3.027	-2.604	156.361	103.212	109.962	126.646
-4.480	-2.667	-3.684	-6.098	228.142	69.635	47.926	71.076
-2.313	-3.932	-6.195	-2.547	55.221	63.296	119.618	67.993
-10.700	-10.771	-9.222	-9.702	249.361	228.322	32.549	32.870
-4.257	-1.726	-3.943	-5.972	138.101	54.160	102.765	163.388
-3.476	-2.621	-4.332	-5.270	62.850	45.649	164.090	208.795
-1.699	-4.026	-5.909	-3.360	65.335	105.220	265.755	200.720
-1.895	-3.197	-4.820	-3.917	64.451	65.585	186.800	169.005
-7.294	-10.369	-11.103	-9.574	41.608	69.197	115.068	97.575
-3.639	-1.508	-2.571	-5.143	221.455	78.091	138.370	253.083
-1.960	-3.120	-4.070	-2.267	61.166	90.957	97.551	87.236
-2.593	-4.811	-6.313	-4.907	38.920	66.321	112.848	82.937
-3.935	-1.542	-2.897	-5.003	173.887	107.497	73.208	108.862
-2.701	-1.658	-2.786	-4.128	147.727	88.600	156.147	226.199
-1.566	-2.371	-4.084	-3.178	73.489	85.091	274.027	251.555
-1.833	-3.749	-5.356	-2.737	88.290	127.478	210.653	134.317
-2.684	-2.785	-5.122	-3.739	44.371	85.992	60.559	58.362
-2.956	-1.727	-3.760	-4.495	111.741	65.337	153.160	193.126
-56.242	-4.344	-5.716	-3.602	65.244	62.126	218.272	203.595
-1.184	-1.444	-2.158	-2.880	189.669	85.119	156.876	148.571
-1.290	-1.894	-3.325	-2.570	117.144	98.629	91.194	61.016
-2.447	-2.153	-3.175	-3.502	95.855	44.286	66.088	48.130
-3.031	-35.838	-4.522	-3.990	32.668	30.786	77.043	73.841
-2.097	-2.605	-1.654	-4.309	230.124	182.779	64.914	66.782
-4.194	-4.169	-5.857	-5.046	74.139	82.335	79.159	59.093
-2.952	-1.955	-3.865	-4.317	113.439	76.776	41.656	35.337
-2.749	-1.748	-3.585	-4.247	163.853	92.325	56.479	61.012
-5.698	-3.459	-4.696	-6.812	205.617	71.556	229.441	330.765
-1.177	-1.565	-1.559	-2.848	128.963	84.007	77.079	120.963
-1.414	-1.664	-2.938	-3.011	124.532	76.617	181.045	163.971
-2.203	-1.480	-2.863	-3.248	144.263	94.454	175.055	206.001
-4.152	-2.721	-4.320	-4.937	203.328	57.105	34.224	42.363
-3.913	-1.753	-2.136	-5.049	196.821	44.822	31.061	50.024
-2.270	-7.064	-7.925	-5.799	38.494	41.073	204.752	128.074
-6.386	-5.332	-7.142	-8.089	114.853	39.742	205.997	241.687
-5.643	-2.327	-5.329	-6.969	75.532	35.561	83.807	94.428
-1.744	-1.827	-3.556	-2.896	117.251	62.387	67.458	76.602
-3.298	-2.123	-3.889	-5.156	126.412	92.255	198.292	225.761
-1.207	-3.985	-5.154	-2.976	128.040	164.371	160.574	85.892
-1.985	-1.507	-2.719	-3.526	149.333	118.600	61.010	60.773
-2.966	-1.686	-2.988	-4.482	93.397	53.460	138.772	191.309
-2.905	-1.854	-2.696	-3.944	171.681	53.355	280.683	320.263
-1.551	-1.948	-3.802	-2.650	85.991	114.148	174.346	149.203
-3.322	-2.718	-4.004	-4.475	137.876	65.487	168.437	219.405
-1.956	-3.831	-5.146	-3.370	73.713	125.932	211.093	165.791
-1.600	-1.336	-2.459	-2.638	177.563	110.091	54.723	94.765
-3.072	-2.460	-4.053	-4.499	119.516	48.474	70.191	117.657
-6.663	-6.425	-8.706	-8.716	261.970	88.142	55.768	53.280
-1.822	-4.357	-5.977	-2.985	54.615	134.453	350.682	176.659
-1.511	-1.229	-3.154	-3.121	121.550	65.684	204.867	269.465
-1.098	-1.318	-3.622	-2.166	165.248	104.430	394.476	389.001
-1.216	-1.363	-2.769	-2.484	120.246	86.473	254.968	232.087
-1.767	-1.177	-2.366	-3.169	139.010	119.088	173.815	249.571
-4.535	-6.239	-6.378	-5.342	107.128	114.698	35.869	33.529
-3.494	-3.086	-4.789	-4.561	64.475	30.399	163.394	155.642
-1.431	-3.270	-5.129	-2.521	73.959	113.013	244.024	156.736
-4.245	-5.009	-6.469	-6.149	58.060	49.695	128.027	117.376
-2.093	-1.685	-2.595	-3.489	113.275	87.277	145.267	185.516
-1.433	-1.953	-3.733	-1.207	105.886	135.822	197.969	113.738
-1.701	-4.969	-6.442	-4.276	63.871	95.820	218.568	115.051
-4.612	-2.528	-3.856	-6.269	146.984	20.818	31.874	62.867
-6.287	-4.274	-5.821	-7.672	68.088	32.785	47.310	35.566
-1.099	-3.401	-4.938	-1.453	117.578	146.748	86.506	67.944
-4.447	-5.858	-2.555	-1.837	130.870	124.566	52.689	62.939
-4.153	-1.619	-3.764	-5.559	257.391	91.247	176.211	245.039
-13.222	-14.056	-15.791	-14.832	43.984	49.187	260.354	275.926
-5.676	-3.280	-5.368	-7.367	85.303	18.467	89.578	116.822
-5.718	-5.636	-6.975	-6.654	81.417	35.731	131.365	127.548
-1.294	-1.865	-2.977	-2.729	106.040	71.178	159.743	165.998
-3.472	-1.834	-2.855	-4.890	162.186	56.424	65.339	93.505
-1.534	-2.902	-3.645	-3.378	55.526	49.658	226.287	213.892
-2.483	-1.745	-3.863	-3.841	110.290	69.653	225.416	305.763
-1.786	-2.261	-3.514	-2.342	89.049	101.308	119.570	121.673
-1.993	-1.547	-3.156	-2.951	125.022	77.385	93.971	135.083
-2.621	-4.401	-6.735	-3.768	53.938	62.197	336.035	217.703
-1.853	-3.943	-5.289	-2.932	66.592	108.375	58.470	37.640
-2.017	-1.904	-2.228	-3.817	266.680	214.452	50.949	75.990
-2.412	-1.969	-3.328	-3.868	78.356	49.485	96.205	118.667
-10.090	-9.659	-11.294	-11.787	75.047	41.690	256.124	261.990
-1.586	-4.156	-5.257	-3.948	37.025	165.134	111.713	113.241
-3.571	-5.576	-7.074	-3.916	49.452	32.788	54.781	48.161
-1.467	-2.468	-3.883	-3.223	104.137	110.911	180.283	122.640
-1.171	-1.404	-38.001	-35.682	156.961	77.466	64.573	61.465
-3.935	-4.188	-5.642	-5.667	130.312	61.370	197.152	195.588
-1.072	-1.735	-2.881	-2.753	149.342	136.519	164.623	190.900
-2.009	-4.490	-5.785	-3.038	71.761	61.468	89.856	50.462
-1.793	-4.373	-5.918	-2.922	68.661	90.925	287.090	179.240
-6.385	-5.200	-9.049	-7.158	114.443	50.073	411.235	360.912
-2.856	-3.737	-4.868	-3.182	97.058	87.629	79.121	68.735
-7.849	-7.997	-9.672	-8.768	61.653	39.717	85.273	99.052
-3.383	-1.512	-2.972	-4.958	201.416	81.636	140.383	225.378
-5.003	-73.013	-7.170	-6.775	37.494	48.947	168.791	134.092
-2.476	-1.671	-3.068	-4.032	178.517	99.850	70.027	63.566
-4.987	-3.659	-4.794	-6.501	70.677	57.522	184.089	237.811
