T_CH1	T_CH2	T_CH3	T_CH4	A_CH1	A_CH2	A_CH3	A_CH4
-2.042	-4.858	-3.681	-5.734	64.896	85.650	115.181	151.754
-3.239	-4.600	-4.149	-6.128	32.624	21.775	67.387	121.931
-2.226	-3.835	-2.716	-5.764	61.644	76.767	111.497	226.896
-1.254	-3.553	-2.598	-5.044	101.084	137.067	30.439	52.866
-2.523	-4.881	-4.496	-5.860	43.961	110.278	164.684	272.492
-2.235	-4.350	-3.643	-5.711	59.575	103.042	93.875	197.229
-1.837	-2.281	-1.957	-4.786	89.603	80.452	141.864	272.458
-1.186	-3.065	-2.081	-5.113	119.046	143.075	157.710	266.109
-2.274	-4.878	-4.308	-5.597	57.600	145.328	215.592	309.215
-1.664	-4.284	-3.231	-4.884	98.243	94.312	99.035	168.504
-2.403	-1.990	-3.337	-0.836	180.156	106.174	264.485	179.377
-1.253	-3.496	-3.219	-4.908	93.813	127.162	113.865	173.825
-1.292	-2.555	-2.175	-5.582	81.240	44.794	119.199	316.033
-106.160	-112.640	-1.086	-3.674	-1453.625	-1699.763	132.946	272.361
-10.757	-12.286	-11.878	-14.709	43.808	33.531	126.482	258.864
-7.552	-9.601	-9.150	-11.587	96.492	103.837	28.288	58.884
-1.622	-3.853	-3.025	-4.739	49.333	83.202	103.107	215.679
-2.102	-3.901	-2.759	-5.987	69.982	115.074	83.152	168.708
-2.122	-3.720	-3.162	-4.966	39.187	92.540	165.068	241.530
-2.004	-4.644	-2.809	-5.118	81.169	144.036	44.213	52.540
-1.454	-3.753	-3.602	-4.447	59.803	144.892	130.969	192.034
-1.814	-2.974	-2.562	-5.180	99.343	109.721	66.820	195.478
-2.022	-4.409	-1.662	-2.671	44.219	52.459	85.352	87.840
-2.201	-5.079	-4.175	-5.223	63.883	117.235	93.020	167.424
-4.391	-5.809	-5.254	-7.995	62.852	85.250	68.441	62.538
-1.695	-3.089	-2.025	-4.526	86.001	86.411	35.512	54.548
-1.635	-4.514	-3.620	-5.131	78.391	189.845	81.610	119.630
-2.448	-2.848	-4.024	-5.194	59.090	36.328	50.096	43.339
-1.600	-3.719	-2.821	-4.819	61.769	122.176	226.952	273.440
-1.367	-3.074	-2.240	-5.459	75.196	92.013	48.538	39.796
-2.048	-3.383	-4.029	-5.710	68.481	81.243	245.925	414.374
-1.170	-2.988	-2.108	-5.404	121.211	141.423	480.825	722.471
-1.693	-2.578	-1.911	-4.887	85.646	89.694	61.409	140.574
-2.599	-5.806	-4.849	-5.590	120.540	153.785	51.520	61.163
-6.387	-4.194	-6.945	-7.777	101.449	38.331	105.112	147.578
-4.912	-7.607	-7.106	-8.631	18.228	34.129	102.845	147.576
-4.104	-5.779	-5.650	-7.441	118.396	163.433	25.653	60.430
-3.066	-3.346	-3.466	-5.948	55.747	60.491	48.415	118.598
-1.105	-4.273	-3.791	-5.326	107.452	149.537	62.273	118.586
-2.213	-4.928	-3.107	-5.870	90.291	89.091	29.571	25.652
-1.127	-2.499	-2.181	-4.408	130.458	141.270	190.165	278.921
-1.240	-3.147	-1.780	-5.058	28.461	79.882	90.373	163.236
-1.357	-1.868	-3.722	-6.687	110.308	79.814	163.895	368.782
-1.920	-3.857	-3.177	-5.362	64.466	49.883	137.413	215.667
-1.433	-3.505	-2.532	-4.547	82.309	122.595	151.020	224.590
-2.870	-2.064	-4.002	-6.625	71.227	49.787	126.636	184.428
-3.135	-6.123	-4.968	-6.612	17.765	87.904	36.221	37.277
-1.728	-3.934	-3.541	-4.578	82.697	139.348	73.333	126.282
-5.199	-2.198	-8.901	-9.063	198.813	61.723	338.576	424.096
-1.978	-4.559	-4.046	-5.133	69.088	147.436	81.859	146.557
-1.190	-3.571	-2.075	-4.683	60.928	162.757	58.908	76.486
-5.456	-6.521	-6.143	-8.799	77.194	109.986	27.155	60.173
-1.428	-4.687	-4.077	-4.879	71.242	131.809	85.431	116.591
-1.423	-4.036	-3.208	-3.896	88.448	144.772	87.701	116.776
-1.351	-3.815	-3.141	-4.588	122.182	169.706	63.005	98.208
-1.159	-2.459	-1.724	-4.677	168.630	138.064	163.755	250.214
-98.645	-7.487	-6.998	-9.607	23.338	39.020	80.115	109.069
-1.400	-3.368	-2.952	-4.359	63.891	145.628	203.479	333.832
-2.157	-6.137	-5.456	-7.125	53.634	96.568	177.307	269.751
-1.855	-2.906	-1.631	-5.125	138.204	161.387	69.626	71.025
-1.730	-3.803	-3.123	-5.304	63.779	92.878	122.018	154.350
-1.141	-2.521	-2.235	-4.247	127.382	121.262	128.450	228.412
-4.008	-6.746	-6.116	-7.406	41.319	212.849	191.026	236.874
-1.735	-3.853	-2.152	-4.600	23.485	67.612	92.507	191.041
-1.904	-3.545	-2.793	-5.113	74.471	88.552	107.625	202.445
-3.891	-3.962	-4.551	-6.534	57.240	75.577	46.812	98.171
-2.255	-3.275	-3.116	-5.654	77.700	81.871	53.665	110.564
-1.972	-4.930	-3.602	-5.306	71.264	123.500	157.931	220.482
-5.012	-7.097	-6.773	-8.320	19.615	41.375	208.860	298.215
-1.420	-3.299	-3.101	-3.857	103.399	157.647	44.058	43.511
-4.595	-6.082	-7.566	-6.520	38.761	48.601	140.951	95.009
-1.404	-3.941	-2.572	-4.408	82.132	111.759	47.245	65.038
-1.776	-4.052	-5.142	-3.434	71.434	111.039	190.219	152.509
-4.014	-6.977	-6.238	-8.192	58.735	81.487	154.683	278.462
-2.470	-4.919	-4.172	-5.902	63.208	87.703	176.138	284.659
-5.802	-4.346	-6.917	-10.043	79.645	30.829	366.571	514.674
-1.640	-4.406	-4.020	-4.698	103.381	153.933	48.393	75.703
-1.648	-3.403	-3.888	-5.684	20.586	-0.448	60.796	116.751
-2.160	-4.092	-3.484	-5.705	63.602	77.486	209.189	320.726
-1.671	-4.080	-2.905	-5.224	88.469	73.115	186.966	292.731
-1.176	-2.444	-2.185	-4.349	126.060	169.791	45.699	142.107
-2.002	-4.551	-3.886	-5.263	73.609	100.232	45.789	32.265
-1.228	-1.475	-3.211	-3.613	99.365	122.758	143.744	122.978
-46.251	-5.812	-5.111	-6.568	44.612	98.818	36.117	79.321
-1.461	-3.328	-2.389	-5.254	128.207	126.740	161.194	279.076
-1.511	-3.957	-3.317	-5.622	71.473	64.441	165.020	303.214
-2.834	-5.200	-4.640	-6.087	251.037	362.586	33.397	62.751
-1.836	-3.584	-3.224	-5.285	66.306	77.948	220.385	295.226
-1.233	-3.890	-2.501	-4.788	131.789	181.400	96.899	96.948
-2.855	-4.860	-5.002	-6.482	105.548	109.945	36.949	56.322
-2.412	-3.954	-2.830	-5.382	61.694	43.805	62.705	162.545
-1.707	-4.934	-4.492	-5.629	39.559	100.417	47.810	106.790
