#LECROYHDO9204-MS�v,30454,Histogram
#Segments,1,SegmentSize,200
#Segment,TrigTime,TimeSinceSegment1
##1,01-Jan-2009 01:49:35,0                 
#Time,Ampl
-1.388e-09,0
-1.378e-09,0
-1.368e-09,0
-1.358e-09,0
-1.348e-09,0
-1.338e-09,0
-1.328e-09,0
-1.318e-09,1
-1.308e-09,0
-1.298e-09,0
-1.288e-09,1
-1.278e-09,0
-1.268e-09,0
-1.258e-09,0
-1.248e-09,0
-1.238e-09,0
-1.228e-09,0
-1.218e-09,1
-1.208e-09,1
-1.198e-09,0
-1.188e-09,1
-1.178e-09,0
-1.168e-09,1
-1.158e-09,0
-1.148e-09,0
-1.138e-09,1
-1.128e-09,1
-1.118e-09,1
-1.108e-09,0
-1.098e-09,1
-1.088e-09,0
-1.078e-09,3
-1.068e-09,3
-1.058e-09,1
-1.048e-09,1
-1.038e-09,0
-1.028e-09,4
-1.018e-09,5
-1.008e-09,7
-9.98e-10,2
-9.88e-10,2
-9.78e-10,4
-9.68e-10,6
-9.58e-10,5
-9.48e-10,3
-9.38e-10,6
-9.28e-10,6
-9.18e-10,8
-9.08e-10,2
-8.98e-10,9
-8.88e-10,8
-8.78e-10,7
-8.68e-10,8
-8.58e-10,12
-8.48e-10,13
-8.38e-10,9
-8.28e-10,19
-8.18e-10,11
-8.08e-10,22
-7.98e-10,21
-7.88e-10,22
-7.78e-10,12
-7.68e-10,21
-7.58e-10,26
-7.48e-10,26
-7.38e-10,30
-7.28e-10,30
-7.18e-10,36
-7.08e-10,25
-6.98e-10,26
-6.88e-10,36
-6.78e-10,44
-6.68e-10,28
-6.58e-10,32
-6.48e-10,48
-6.38e-10,39
-6.28e-10,38
-6.18e-10,45
-6.08e-10,36
-5.98e-10,48
-5.88e-10,63
-5.78e-10,54
-5.68e-10,58
-5.58e-10,64
-5.48e-10,71
-5.38e-10,62
-5.28e-10,83
-5.18e-10,66
-5.08e-10,71
-4.98e-10,68
-4.88e-10,87
-4.78e-10,68
-4.68e-10,82
-4.58e-10,88
-4.48e-10,72
-4.38e-10,68
-4.28e-10,78
-4.18e-10,89
-4.08e-10,81
-3.98e-10,77
-3.88e-10,88
-3.78e-10,85
-3.68e-10,84
-3.58e-10,81
-3.48e-10,73
-3.38e-10,84
-3.28e-10,89
-3.18e-10,93
-3.08e-10,67
-2.98e-10,85
-2.88e-10,69
-2.78e-10,87
-2.68e-10,81
-2.58e-10,85
-2.48e-10,64
-2.38e-10,69
-2.28e-10,67
-2.18e-10,76
-2.08e-10,76
-1.98e-10,77
-1.88e-10,62
-1.78e-10,84
-1.68e-10,66
-1.58e-10,58
-1.48e-10,65
-1.38e-10,58
-1.28e-10,65
-1.18e-10,42
-1.08e-10,52
-9.8e-11,62
-8.8e-11,54
-7.8e-11,71
-6.8e-11,40
-5.8e-11,48
-4.8e-11,44
-3.8e-11,57
-2.8e-11,53
-1.8e-11,39
-8e-12,38
2e-12,30
1.2e-11,19
2.2e-11,29
3.2e-11,31
4.2e-11,26
5.2e-11,22
6.2e-11,24
7.2e-11,22
8.2e-11,31
9.2e-11,24
1.02e-10,20
1.12e-10,9
1.22e-10,17
1.32e-10,12
1.42e-10,13
1.52e-10,19
1.62e-10,17
1.72e-10,14
1.82e-10,10
1.92e-10,10
2.02e-10,10
2.12e-10,7
2.22e-10,11
2.32e-10,10
2.42e-10,8
2.52e-10,5
2.62e-10,5
2.72e-10,8
2.82e-10,1
2.92e-10,7
3.02e-10,7
3.12e-10,3
3.22e-10,5
3.32e-10,5
3.42e-10,2
3.52e-10,1
3.62e-10,6
3.72e-10,1
3.82e-10,1
3.92e-10,1
4.02e-10,1
4.12e-10,1
4.22e-10,1
4.32e-10,0
4.42e-10,0
4.52e-10,1
4.62e-10,2
4.72e-10,0
4.82e-10,3
4.92e-10,2
5.02e-10,2
5.12e-10,2
5.22e-10,0
5.32e-10,0
5.42e-10,0
5.52e-10,1
5.62e-10,1
5.72e-10,0
5.82e-10,0
5.92e-10,0
6.02e-10,0
