LECROYHDO9204-MSöv,30454,Histogram
Segments,1,SegmentSize,200
Segment,TrigTime,TimeSinceSegment1
#1,01-Jan-2009 01:41:57,0                 
Time,Ampl
-3.212e-09,0
-3.202e-09,0
-3.192e-09,1
-3.182e-09,1
-3.172e-09,0
-3.162e-09,1
-3.152e-09,1
-3.142e-09,1
-3.132e-09,1
-3.122e-09,3
-3.112e-09,0
-3.102e-09,2
-3.092e-09,0
-3.082e-09,1
-3.072e-09,0
-3.062e-09,2
-3.052e-09,3
-3.042e-09,2
-3.032e-09,0
-3.022e-09,4
-3.012e-09,2
-3.002e-09,3
-2.992e-09,5
-2.982e-09,8
-2.972e-09,0
-2.962e-09,5
-2.952e-09,3
-2.942e-09,10
-2.932e-09,7
-2.922e-09,10
-2.912e-09,2
-2.902e-09,6
-2.892e-09,7
-2.882e-09,11
-2.872e-09,7
-2.862e-09,18
-2.852e-09,12
-2.842e-09,15
-2.832e-09,9
-2.822e-09,14
-2.812e-09,9
-2.802e-09,10
-2.792e-09,19
-2.782e-09,15
-2.772e-09,21
-2.762e-09,23
-2.752e-09,29
-2.742e-09,27
-2.732e-09,37
-2.722e-09,32
-2.712e-09,28
-2.702e-09,42
-2.692e-09,39
-2.682e-09,36
-2.672e-09,53
-2.662e-09,33
-2.652e-09,41
-2.642e-09,47
-2.632e-09,64
-2.622e-09,54
-2.612e-09,59
-2.602e-09,51
-2.592e-09,66
-2.582e-09,88
-2.572e-09,68
-2.562e-09,77
-2.552e-09,75
-2.542e-09,93
-2.532e-09,88
-2.522e-09,86
-2.512e-09,97
-2.502e-09,102
-2.492e-09,83
-2.482e-09,94
-2.472e-09,101
-2.462e-09,105
-2.452e-09,106
-2.442e-09,95
-2.432e-09,91
-2.422e-09,125
-2.412e-09,101
-2.402e-09,126
-2.392e-09,124
-2.382e-09,105
-2.372e-09,102
-2.362e-09,105
-2.352e-09,120
-2.342e-09,116
-2.332e-09,114
-2.322e-09,132
-2.312e-09,105
-2.302e-09,97
-2.292e-09,106
-2.282e-09,124
-2.272e-09,112
-2.262e-09,111
-2.252e-09,106
-2.242e-09,101
-2.232e-09,122
-2.222e-09,102
-2.212e-09,111
-2.202e-09,95
-2.192e-09,85
-2.182e-09,82
-2.172e-09,82
-2.162e-09,90
-2.152e-09,105
-2.142e-09,84
-2.132e-09,77
-2.122e-09,78
-2.112e-09,82
-2.102e-09,70
-2.092e-09,72
-2.082e-09,51
-2.072e-09,72
-2.062e-09,55
-2.052e-09,47
-2.042e-09,54
-2.032e-09,42
-2.022e-09,43
-2.012e-09,43
-2.002e-09,41
-1.992e-09,40
-1.982e-09,48
-1.972e-09,32
-1.962e-09,29
-1.952e-09,23
-1.942e-09,28
-1.932e-09,22
-1.922e-09,22
-1.912e-09,29
-1.902e-09,25
-1.892e-09,22
-1.882e-09,17
-1.872e-09,23
-1.862e-09,18
-1.852e-09,19
-1.842e-09,20
-1.832e-09,12
-1.822e-09,11
-1.812e-09,12
-1.802e-09,10
-1.792e-09,9
-1.782e-09,9
-1.772e-09,9
-1.762e-09,7
-1.752e-09,1
-1.742e-09,10
-1.732e-09,7
-1.722e-09,4
-1.712e-09,3
-1.702e-09,5
-1.692e-09,7
-1.682e-09,2
-1.672e-09,4
-1.662e-09,2
-1.652e-09,3
-1.642e-09,2
-1.632e-09,2
-1.622e-09,3
-1.612e-09,0
-1.602e-09,2
-1.592e-09,0
-1.582e-09,1
-1.572e-09,2
-1.562e-09,0
-1.552e-09,0
-1.542e-09,2
-1.532e-09,2
-1.522e-09,1
-1.512e-09,0
-1.502e-09,1
-1.492e-09,1
-1.482e-09,0
-1.472e-09,1
-1.462e-09,0
-1.452e-09,0
-1.442e-09,0
-1.432e-09,0
-1.422e-09,0
-1.412e-09,0
-1.402e-09,0
-1.392e-09,0
-1.382e-09,0
-1.372e-09,0
-1.362e-09,0
-1.352e-09,0
-1.342e-09,0
-1.332e-09,1
-1.322e-09,0
-1.312e-09,0
-1.302e-09,0
-1.292e-09,0
-1.282e-09,0
-1.272e-09,0
-1.262e-09,0
-1.252e-09,1
-1.242e-09,0
-1.232e-09,0
-1.222e-09,0
